num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_7;Está em cics8
150;cics_4;habilita;86080012;CFI; 10 ;;;;"Material fixo de vias férreas ou semelhantes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização, de segurança, de controle ou de comando para vias férreas ou semelhantes, rodoviárias ou fluviais, para áreas ou parques de estacionamento, instalações portuárias ou para aeródromos; suas partes.";Sistemas Metroferroviários;1;1;2;2
151;cics_4;habilita;87060010;CFI; 10 ;;;;Chassis com motor para os veículos automóveis das posições 87.01 a 87.05.;Ônibus;1;1;2;2
152;cics_4;habilita;87060090;CFI; 10 ;;;;Chassis com motor para os veículos automóveis das posições 87.01 a 87.05.;Ônibus;1;1;2;2
153;cics_4;habilita;87079090;CFI; 10 ;;;;Carroçarias para os veículos automóveis das posições 87.01 a 87.05, incluindo as cabinas.;Ônibus;1;1;2;2
154;cics_4;habilita;90138010;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Lasers, exceto diodos laser; outros aparelhos e instrumentos de óptica, não especificados nem compreendidos noutras posições do presente Capítulo.";TICs;1;1;2;2
155;cics_4;habilita;90221910;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
156;cics_4;habilita;90221991;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
157;cics_4;habilita;90221999;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
158;cics_4;habilita;90229090;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
159;cics_4;habilita;90251990;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Densímetros, areômetros, pesa-líquidos e instrumentos flutuantes semelhantes, termômetros, pirômetros, barômetros, higrômetros e psicrômetros, registradores ou não, mesmo combinados entre si.;TICs;0;0;2;2
160;cics_4;habilita;90328930;CFI; 10 ;;;;Instrumentos e aparelhos para regulação ou controle, automáticos.;Sistemas Metroferroviários;0;0;2;2
